Designator,Footprint,Quantity,Value,LCSC Part #
"Q3, Q4",_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_SOT95P245X110-3M.PcbLib_SOT95P245X110-3M,2,AO3422,
Q5,SOT-23,1,FSS2301S,
Q6,SOT-23,1,FSS2302S ,
Q7,SOT-23,1,FSS2302S,
R1,_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_NewAE_AltiumLib.DBLib/main_RESC5025X06N,1,20M,
"R10, R5",_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_RESC1608X55N.PcbLib_RESC1608X55N,2,1k,
R11,0603,1,27,
R12,0603,1,200,
R13,0603,1,1K,
R15,0603,1,1k,
R16,0603,1,1k,
R17,0603,1,2k,
R18,0603,1,2k,
R19,0603,1,100,
R2,2512,1,360k,
R20,0603,1,1k,
R21,0603,1,5.1K,C23186
R22,0603,1,5.1K,
R23,0603,1,10k,
R24,0603,1,1k,
R25,0603,1,100k,
R26,0603,1,100k,
R27,0603,1,1k,
R3,_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_NewAE_AltiumLib.DBLib/main_RESC1608X55N,1,10R,
R4,_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_RESC2012X70N.PcbLib_RESC2012X70N,1,75R,
R6,_Users_colin_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_RESC1608X55N.PcbLib_RESC1608X55N,1,22k,
R7,_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_RESC1608X55N.PcbLib_RESC1608X55N,1,10R,
R8,0603,1,27,
R9,_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_RESC2012X70N.PcbLib_RESC2012X70N,1,2k,
SW1,_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_CK_KSC7J.PcbLib_CK_KSC7J,1,ARM,
SW2,_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_CK_KSC7J.PcbLib_CK_KSC7J,1,PULSE,
SW3,_Users_colin_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_CK_KSC7J.PcbLib_CK_KSC7J,1,TL3301AF160QJ,
SW4,_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_CK_KSC7J.PcbLib_CK_KSC7J,1,SW_SPST,
"SW5, SW6",SW_SPDT_PCM12,2,SSSS811101,
"T1, T2",_Users_cofly_Dropbox (NewAE Technology Inc)_engineering_altium_Libraries_footprints_ATB322524.PcbLib_ATB322524,2,ATB322524,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,IC_W25Q16JVUXIQ_TR,1,W25Q128JVSIQ,
U3,SOT-23-5,1,LP4054H,
U4,DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,XB6536A,
U5,SOT-23-3,1,ME2807,
U6,SOT-23-5,1,LP3992-3.3,
U7,SOT-23-5,1,LPW5206,
Y1,X322512MSB4SI,1,X322512MSB4SI,
